_idx _index _name area_ellipse area_exact major_fwhm minor_fwhm position_angle radius rejected x_cen y_cen 226.0GHz_detected 93.0GHz_dend_flux 93.0GHz_detected 226.0GHz_snr 226.0GHz_dend_flux 226.0GHz_ellipse_peak 226.0GHz_ellipse_sum 226.0GHz_ellipse_rms 226.0GHz_ellipse_median 226.0GHz_ellipse_npix 93.0GHz_ellipse_peak 93.0GHz_ellipse_sum 93.0GHz_ellipse_rms 93.0GHz_ellipse_median 93.0GHz_ellipse_npix 45.0GHz_ellipse_peak 45.0GHz_ellipse_sum 45.0GHz_ellipse_rms 45.0GHz_ellipse_median 45.0GHz_ellipse_npix 226.0GHz_annulus_peak 226.0GHz_annulus_sum 226.0GHz_annulus_rms 226.0GHz_annulus_median 226.0GHz_annulus_npix 93.0GHz_annulus_peak 93.0GHz_annulus_sum 93.0GHz_annulus_rms 93.0GHz_annulus_median 93.0GHz_annulus_npix 45.0GHz_annulus_peak 45.0GHz_annulus_sum 45.0GHz_annulus_rms 45.0GHz_annulus_median 45.0GHz_annulus_npix 33.0GHz_ellipse_sum 33.0GHz_ellipse_err 33.0GHz_ellipse_peak 2.0GHz_ellipse_sum 2.0GHz_ellipse_err 2.0GHz_ellipse_peak 4.0GHz_ellipse_sum 4.0GHz_ellipse_err 4.0GHz_ellipse_peak 5.0GHz_ellipse_sum 5.0GHz_ellipse_err 5.0GHz_ellipse_peak 6.0GHz_ellipse_sum 6.0GHz_ellipse_err 6.0GHz_ellipse_peak 36.0GHz_ellipse_sum 36.0GHz_ellipse_err 36.0GHz_ellipse_peak 8.0GHz_ellipse_sum 8.0GHz_ellipse_err 8.0GHz_ellipse_peak 13.0GHz_ellipse_sum 13.0GHz_ellipse_err 13.0GHz_ellipse_peak 14.0GHz_ellipse_sum 14.0GHz_ellipse_err 14.0GHz_ellipse_peak 22.0GHz_ellipse_sum 22.0GHz_ellipse_err 22.0GHz_ellipse_peak 25.0GHz_ellipse_sum 25.0GHz_ellipse_err 25.0GHz_ellipse_peak 27.0GHz_ellipse_sum 27.0GHz_ellipse_err 27.0GHz_ellipse_peak 29.0GHz_ellipse_sum 29.0GHz_ellipse_err 29.0GHz_ellipse_peak
14 10 226014 4.25203785372504e-10 1.1736111111110173e-09 2.4895150256896008e-05 2.1747026451632192e-05 155.25406931412383 9.880970285399793e-06 1 290.93292269019327 14.507540856974256 1 "" "" 3.29110558634438 0.0143567569917603 0.0016108741983771324 0.01603745564253383 0.00036446774678457064 0.0006654078606516123 2451.0 0.0003070493112318218 0.0008882856115028413 8.563707784163111e-05 0.00012463144958019257 881.0 0.0001315804516005993 0.0002788499032963431 3.0840996291936194e-05 1.6620223985501255e-05 221.0 0.002933736890554428 0.0073041939374572755 0.0004894629346019928 4.601615273713833e-06 3620.0 0.0012292552273720503 0.0023004606886203975 0.00024329755973620515 1.9867135051754303e-05 2712.0 0.00015525450563481005 0.002566368913987876 4.4672028430314033e-05 1.1774064695775185e-05 2028.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
15 11 226015 3.298161971776379e-10 1.2506944444443443e-09 2.277125233542488e-05 1.9746486023006418e-05 2.0319426496131157 8.702359536520302e-06 0 290.9334733706262 14.507546039709489 1 0.002506022168802473 1 14.416485359852155 0.016014219186084328 0.0023574368096888065 0.0158819392237041 0.0005569384320397151 0.0006950563401915133 2031.0 0.001107182470150292 0.0025322376803614786 0.00026883498589640344 0.0003661545051727444 733.0 0.00010497152296411203 0.00022478840294966256 4.889747237094323e-05 8.570225700967535e-06 183.0 0.000366452761227265 0.0014845210363920122 0.0001619633516209913 -5.0189890316687524e-05 3420.0 9.907481580739841e-05 0.0003992693436468387 4.244870059603543e-05 1.4371666111401282e-05 2600.0 0.00013099962560815656 0.0019541267953288415 4.4518018565699626e-05 1.8226049981343198e-06 1968.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
16 12 226016 6.622498332058825e-10 1.3847222222221114e-09 5.1880522635087156e-05 1.6253055843393727e-05 -177.78873204086955 1.2331387948254206e-05 1 290.9327670041711 14.507562011917887 1 "" "" 8.76905745536834 0.013260489543489512 0.0025749029591679573 0.01682124751840747 0.0003873695166103248 0.000390115863410756 3819.0 0.000340097991283983 0.0008406195371184946 7.226827186110312e-05 5.733736543334089e-05 1373.0 0.00014072858665331006 0.0007369449573141523 4.1051490763167576e-05 3.847183109715185e-05 339.0 0.0006427715998142958 0.004390119097029594 0.00029363508818061444 -6.913674587849528e-05 6024.0 0.00028888374799862504 0.001975116086925227 8.589491149975548e-05 3.7185924156801775e-05 4180.0 0.0001236183795042712 0.002123023593371042 4.867440096837543e-05 -1.0856344423323821e-05 2756.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
18 13 226018 5.893127634381983e-10 1.6909722222220869e-09 3.068486832706688e-05 2.4453391196887886e-05 150.30884211166992 1.1632523961260836e-05 0 290.93288446554254 14.507580561195535 1 "" "" 10.809261589302077 0.030290604409304093 0.003982785157859325 0.03029488010751162 0.0009140947807951675 0.0006573466234840453 3401.0 0.0012292552273720503 0.004058992471336746 0.0002832834750570622 0.00033867626916617155 1221.0 0.0001236183795042712 0.0006223045950324108 3.4024769342912556e-05 3.5523361547519325e-05 309.0 0.0013763117603957653 0.01240806381079741 0.00036846042858293735 0.0002138957497663796 4124.0 0.0018022677395492792 0.0038956223598919856 0.0002478960117002581 8.981126302387565e-05 3008.0 0.00022956815012193196 0.0024634563089345057 5.632359609717934e-05 2.6718889525110335e-07 2192.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
22 14 226022 5.115944291394789e-10 1.3388888888887818e-09 3.825019674718845e-05 1.7029803848309106e-05 102.00546296970725 1.0838369068308702e-05 1 290.9328228358637 14.507651098281494 1 "" "" 4.461457254891328 0.01078859622979431 0.0010204052086919546 0.012551121994201888 0.00025186288830175946 0.00042430940084159374 2955.0 0.00019823240290861577 0.0008414717880432958 4.3527340074465616e-05 0.00010190765169681981 1063.0 3.6897270858018105e-05 2.343115301956846e-05 3.6886753023953684e-05 -5.2490697729292603e-05 263.0 0.0003107892407570034 0.0013517372936883993 0.00022871567525907174 -0.00013522719382308424 4828.0 0.0005976391257718205 0.0026380590254658164 0.0001319804386298052 6.149635009933263e-05 3436.0 0.00022956815012193196 0.002617475198160852 5.469530764357909e-05 -1.2929650353381682e-06 2400.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
23 15 226023 1.1540271561118965e-10 3.590277777777491e-10 1.482266373947415e-05 9.913049720838412e-06 64.84842482413556 5.14765042512838e-06 1 290.93291243723877 14.507638488712953 1 "" "" 6.246517865480981 0.011381474688779534 0.0032000159844756126 0.013688653459085041 0.00043292363797502474 0.00201251357793808 663.0 0.0018446978647261858 0.0023673888012906816 0.000309114600515499 0.0012473470997065306 235.0 0.00022956815012193196 0.00022731609284543902 8.715365109779369e-05 5.7933294980288225e-05 57.0 0.001936029177159071 0.00947006654506522 0.0005122879744184021 0.00024469272466376424 2712.0 0.0007163865375332534 0.0023652396208888 0.0001679812227353748 6.723014666931704e-05 2160.0 0.0011137558965870376 0.0023581520160656064 8.096415831854932e-05 -2.682650064826112e-06 1760.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
24 16 226024 4.1233520532465394e-11 1.2222222222221245e-10 7.956762120979904e-06 6.598292360895585e-06 -146.48410754851523 3.076991102808728e-06 0 290.9329127421085 14.507659413824936 1 "" "" 3.3189494309901395 0.0034798608993757644 0.00238819164223969 0.004525410658735185 0.00023617182715653267 0.0018730880692601204 241.0 0.0010698933620005846 0.0005710769715330069 9.624230758392359e-05 0.0008398220525123179 85.0 -2.6428578591839345e-05 0.0 2.4630503673896088e-05 -7.460327939448672e-05 23.0 0.0032000159844756126 0.01504301517364023 0.0007195625278108629 0.0005229926318861544 2080.0 0.0015018446138128638 0.0033901487568074842 0.0002458094324796536 0.00020478354417718947 1780.0 0.001152954922660622 0.002222174990442552 0.00011988116783040878 -1.7980706995415666e-05 1568.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
26 17 226026 7.291986628634938e-11 1.7152777777776407e-10 1.3237930170183391e-05 7.013637088766856e-06 -155.85466727493917 4.0918901289286856e-06 1 290.9329158540699 14.507692959486176 1 "" "" 2.316446135185611 0.0024869251815357505 0.0013773934915661812 0.0036114427617626784 0.00020973832162578314 0.0008914459031075239 415.0 0.000360760313924402 0.00033752745987284814 4.5588744654425624e-05 0.0003007221966981888 147.0 2.9184873850631037e-05 1.1687723802793273e-05 1.7910859037170428e-05 -1.8330872623239243e-06 37.0 0.002355454722419381 0.010716074658381402 0.0005946149451283545 0.00017092721827793866 2556.0 0.0032683450262993574 0.007009298033966677 0.0005870841299874081 0.00020975680672563612 2072.0 0.00022956815012193196 0.0013083815357874285 5.4727732761372656e-05 -1.9061031570923812e-05 1708.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
28 18 226028 2.2818244462144063e-11 7.569444444443838e-11 6.734582276301586e-06 4.314088777090257e-06 -139.35903120656172 2.2889807824015016e-06 1 290.93294391751584 14.507714018063128 1 "" "" 4.365514622677163 0.0018517506243539586 0.002611898584291339 0.0020417815632229907 0.00047944904010156184 0.0015403034631162882 129.0 0.0032683450262993574 0.0010199400049761894 0.00039561527241637156 0.002804072108119726 47.0 0.001152954922660622 0.0005374473377156929 0.00018558169846687018 0.0009333754326376388 11.0 0.00150219292845577 0.008133366790364388 0.000598302562250859 0.00014262303011491895 1976.0 0.0006826427415944636 0.0030511481279938274 0.00018999027259318117 0.00017465570999775082 1724.0 0.0002094571054290365 0.0011041169174165364 5.094398324294681e-05 -1.2035371969867308e-05 1544.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
31 19 226031 1.8627854643301287e-10 4.312499999999655e-10 3.0024730012707723e-05 7.899529803332866e-06 94.90017480153764 6.540070838205422e-06 1 290.9329346553541 14.507742284340432 1 "" "" 1.9610883066892664 0.0080456064625754 0.0016555378679186106 0.012299134231502574 0.0002007674477859793 0.0012046287301927805 1063.0 0.0015893348027020693 0.0018170465009400905 0.0002052945033937283 0.0005495786317624152 379.0 0.0003322883508811127 0.00022782792142921987 6.511770556492716e-05 3.134863482454865e-05 89.0 0.0024921034928411245 0.012271405253360132 0.0008441934319181731 -5.365518882172182e-05 4076.0 0.0010615030769258738 0.004734219639993933 0.0002095246488273648 0.0001294260728172958 2972.0 0.0010941528876973747 0.002046752374514392 7.960023812120637e-05 -1.840747165454944e-05 2168.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
32 20 226032 2.3627142528389215e-10 7.847222222221594e-10 2.3371803002581157e-05 1.2871717408008963e-05 64.97152721461651 7.365574604330573e-06 1 290.93287267413507 14.507741879304136 1 "" "" 2.9969112752868248 0.00901084912858006 0.001598034636117518 0.009122504511134647 0.0004504299026775454 0.0006024462636560202 1365.0 0.0005028027226217091 0.0010336776299538534 0.00011660322635835377 0.0002572957309894264 485.0 7.707486260227848e-05 3.794085574355164e-05 3.2972489608482536e-05 -1.8974443349924344e-05 125.0 0.0007078935159370303 0.0010921842525856568 0.0005332272093923018 -0.00037488783709704876 3480.0 0.0005795472534373403 0.0028185263303880893 0.00015135349276074108 9.370825137011707e-05 2640.0 0.001152954922660622 0.0036828548649395403 0.00011418601435299727 -9.693419079640856e-06 1992.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
34 21 226034 4.1156186239631213e-10 1.1909722222221269e-09 3.773408777527743e-05 1.3887330807159314e-05 89.85055064467188 9.721171256162374e-06 1 290.9329539953935 14.507804870591418 1 "" "" 2.096581914802916 0.03877038962008681 0.004339668434113264 0.045069219975187036 0.0008828687590096248 0.0018285532714799047 2371.0 0.001922080060467124 0.004503456129400131 0.00020340758140463002 0.0006682436214759946 841.0 0.00022498461753453548 0.0003462543499778709 6.644731297438841e-05 9.643600494345579e-06 207.0 0.012357679195702076 0.0485391789716897 0.002069877834714225 0.0001253580703632906 4744.0 0.006232441868633032 0.01321245972654299 0.0008770738651641427 0.00014235697744879872 3412.0 0.001152954922660622 0.004659104834028321 0.00010081714442387873 8.37931687039308e-06 2376.0 "" "" "" 0.000754287944195 0.000208339 0.00129280786496 0.000283275701622 6.32402e-05 0.000856786267832 "" "" "" 0.000187159182329 4.98229e-05 0.000768446479924 "" "" "" "" "" "" 0.00107411904883 0.000106444 0.00233165221289 0.0010604999982 9.49996e-05 0.00210672500543 "" "" "" 0.00211988430584 0.00082514 0.00368858547881 "" "" "" "" "" ""
35 22 226035 2.2738351230614102e-10 6.805555555555011e-10 3.3555493820755676e-05 8.62805387924504e-06 -154.81350612632718 7.225709834644239e-06 1 290.93283257600604 14.5078051036652 1 "" "" 1.8653942134323018 0.013635091084618597 0.002280899789184332 0.01577026627792159 0.00045379496760424856 0.0012113970005884767 1309.0 0.00041355009307153523 0.0010558939276654013 6.254983092684313e-05 0.00028397431015037 467.0 0.00014631840619395298 0.00035841739519286734 3.785188650153089e-05 6.560268917718456e-05 113.0 0.003269667737185955 0.03763331397749218 0.0012227441110088495 0.0003212766023352742 4388.0 0.0011204468319192529 0.005713355831421681 0.0003506570156232635 5.744445661548525e-05 3172.0 0.0019085510067113048 0.003076331323159653 0.00011052559755467209 -1.1722894092963578e-05 2280.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
37 23 226037 1.7936030582204406e-10 3.833333333333027e-10 2.3897010263101406e-05 9.556531112764667e-06 71.21202831300904 6.41747521500979e-06 1 290.93278381983697 14.507842139072853 1 "" "" 2.118074802817056 0.005305018646842039 0.00138686946593225 0.008054182991315922 0.00024249806271938414 0.0008071082411333919 1033.0 0.0001514133036835119 0.00011994395414204669 6.510891305374478e-05 2.0341114577604458e-05 375.0 0.00014082677542469923 0.0001596686910398014 5.144782525160042e-05 2.6338489140263925e-05 95.0 0.003131143283098936 0.01764494418524157 0.0006547783223178439 0.00027669413248077035 3524.0 0.0007694227970205247 0.0021578852853230543 0.00018421992950170052 2.2836446078144945e-05 2652.0 0.0002292616420439334 0.0028280211581637026 5.642608518760516e-05 8.482271883029765e-06 2012.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
